"DATE","TIME","NH4","CI_up","CI_low"
2014-05-21,982,0.139252272840902,0.207619290686768,0.0716528952497998
2014-05-22,983,0.136801267544819,0.203352154841274,0.0712320637943573
2014-05-23,984,0.134368527196359,0.199140249855102,0.0707860841801121
2014-05-24,985,0.131958517187732,0.194988601445104,0.0703137764997429
2014-05-25,986,0.129575609104931,0.190901528560924,0.0698140351428306
2014-05-26,987,0.127224073335782,0.186882880761148,0.0692859209467495
2014-05-27,988,0.124908072204096,0.182936284269907,0.0687287626167918
2014-05-28,989,0.12263165360538,0.179065378558117,0.0681422585771152
2014-05-29,990,0.120398745115505,0.175274027487289,0.067526570351414
2014-05-30,991,0.118213148540266,0.17156649250156,0.0668823993317374
2014-05-31,992,0.116078534871208,0.167947559564159,0.0662110402125315
2014-06-01,993,0.113998439611182,0.164422615969031,0.0655144062260094
2014-06-02,994,0.111976258432048,0.160997677316225,0.0647950233828146
2014-06-03,995,0.110015243126582,0.157679368426518,0.0640559929901669
2014-06-04,996,0.108118497817122,0.154474864539714,0.0633009236265151
2014-06-05,997,0.106288975384582,0.151391800701247,0.062533835391875
2014-06-06,998,0.104529474083359,0.14843815784054,0.0617590405755254
2014-06-07,999,0.102842634310112,0.145622133830833,0.0609810058805545
2014-06-08,1000,0.101230935497482,0.14295200700123,0.0602042020403983
2014-06-09,1001,0.0996966931074739,0.140435998371729,0.059432947092925
2014-06-10,1002,0.0982420557033128,0.138082137510821,0.0586712497806433
2014-06-11,1003,0.0968690020831385,0.135898135547993,0.0579226595498265
2014-06-12,1004,0.0955793384637759,0.133891267642044,0.0571901294394638
2014-06-13,1005,0.0943746957079755,0.132068266199472,0.0564758977778596
2014-06-14,1006,0.0932565265938534,0.130435225405994,0.0557813940198019
2014-06-15,1007,0.0922261031307222,0.128997517197701,0.0551071732317256
2014-06-16,1008,0.0912845139309637,0.127759718648265,0.0544528826406906
2014-06-17,1009,0.0904326616529885,0.126725550852031,0.0538172622977109
2014-06-18,1010,0.0896712605355671,0.125897829680984,0.0531981802926632
2014-06-19,1011,0.0890008340487776,0.125278429201901,0.0525927011675706
2014-06-20,1012,0.0884217126914375,0.124868258950573,0.051997184328022
2014-06-21,1013,0.0879340319690572,0.124667256551383,0.0514074075113668
